码	调整前	调整后
tsnd		桐乃
tsni		同你
tsnk		童宁
tsnp		铜镍
tsnu		僮奴
tsnw		桶内
tsou		痛殴
tspb		同频、同品
tspi		同批、铜皮
tsru		通入、通乳
tsrv		通瑞
tssj		童伞
tssr		酮酸
tsss		同送
tssy		童孙
tssz		童叟
tstk		通厅
tstv		铜退、同退
tsuc		铜哨
tsvg		痛症
tswa		筒袜、童袜
tswd		同外
tswj		通完
tswo		同我、捅我
tsxr		通玄
tsxu		铜须、同许
tszc		同遭
tszg		同增
tszo		同坐、同座
tszz		痛揍
tubh		屠榜
tubi		土逼、秃笔
tubk		涂冰、徒兵
tuch		土藏
tuci		途次
tucj		土蚕
tuco		涂错
tudr		土断
tuds		土洞
tuff		土坟、涂粉
tufj		吐饭
tufo		涂佛
tugf		吐根
tuhd		土嗨
tuhz		图后
tuie		土车
tuif		图谶
tuii		图吃
tuis		图虫
tuiv		土锤
tujl		突降
tukr		图款
tuld		突来
tule		吐了、涂了、秃了
tull		兔粮
tulm		突脸、图链
tulo		秃螺
tulp		图裂、图列
tulq		徒留
tult		图略
tulw		土类
tumd		土埋
tumg		图盟
tump		屠灭
tune		图呢
tunl		兔娘
tunv		兔女
tupk		涂平
tuqm		图签、图钱
tuqr		图权
tuqs		图穷
ture		徒惹
turs		兔绒
tutc		土陶
tuth		土塘
tutm		屠天、徒添
tutp		图贴
tuva		土渣
tuve		吐着、涂着
tuvf		吐真
tuvj		兔展
tuvr		突转
tuwj		吐完
tuxb		吐信
tuyb		土银、凸印
tuyr		图源
tuze		图则、涂泽
tuzo		土佐、图作
tvan		推按
tvcd		退菜
tvch		退仓
tvcj		颓残
tvda		忒大
tvdj		退单、退弹
tvdo		忒多
tvdz		腿抖
tven		推恩
tvfu		退服、退付
tvge		退格、推歌
tvgf		腿根
tvgh		退岗
tvgo		推过、退过
tvgr		退关
tvgs		退工
tvhf		忒狠
tvhk		忒坏、颓坏
tvhu		退户
tvhw		忒黑
tvia		忒差、退查
tvif		推陈
tvij		推阐
tvil		推窗
tvjr		退卷
tvka		退卡
tvkg		退坑
tvkk		忒快
tvks		腿控
tvku		退库
tvkx		腿胯
tvlc		颓老
tvld		推来
tvle		退了、推了
tvlq		推流
tvlw		忒累
tvme		退么
tvmg		退盟
tvmj		忒慢
tvmw		退没、推煤
tvnb		退您
tvnd		推奶
tvni		退你
tvnj		忒难
tvnu		腿奴
tvpb		退聘
tvpc		推刨
tvpd		腿排、推派
tvpk		推平、退瓶
tvpu		退铺
tvqi		颓气
tvqr		退圈
tvrz		腿肉
tvtd		退台
tvtg		腿疼
tvtn		退条
tvuf		退审
tvuu		推书
tvvc		腿照
tvve		推着
tvvf		推针
tvvg		退证
tvvh		退账、推掌
tvvr		退转、推转
tvvu		推注
tvwf		推文
tvwh		退网、退往
tvxm		推线、退闲
tvyc		退药
tvyr		忒远、颓垣
tvys		推拥
tvzc		忒早
tvze		推责
tvzy		推尊
tybc		屯堡、吞剥
tybo		吞剥
tydc		吞到
tydm		屯点
tydn		吞掉
tyff		吞粪
tyhe		屯河
tyii		吞吃
tyjm		吞剑
tyjq		吞酒
tyka		吞卡
tyks		臀控
tyle		吞了、屯了
tyln		臀疗
tyls		吞龙
tylv		屯绿
tylz		吞楼
tymf		屯门
tymi		吞密
tymo		臀模
tysr		吞酸
tytn		豚跳
tytv		臀推
tyty		吞吞
tytz		屯头
tyuz		屯守
tyxx		吞下
tyyb		吞音
tyyc		屯药
tyyk		屯营
tyyz		臀疣
tzbm		头边、投鞭
tzce		头侧、投厕
tzco		投错
tzcu		投促
tzdn		偷掉
tzee		头额
tzff		头份、投分
tzfz		骰否
tzgj		透干、偷感
tzgw		投给
tzgx		偷瓜
tzgz		偷狗
tzhd		投海
tzhl		投簧
tzho		偷活
tzhw		透黑
tzhx		偷花
tzhz		头后
tzir		透传、投传
tziv		头槌、头锤
tzjm		投建
tzjq		头九、偷酒
tzjt		投决
tzju		透剧、骰局
tzke		头科
tzle		偷了、投了、透了
tzlw		投雷
tzly		头轮
tzmd		偷卖
tzme		偷么
tzmf		头门
tzmg		头蒙
tzmi		透蜜
tzmw		投袂
tznd		头奶
tzne		头呢
tzni		偷你
tznj		头难
tznq		头牛、偷牛
tzpa		头帕
tzpj		头盘
tzpk		投屏
tzpm		偷骗
tzpo		头破
tzpu		头铺
tzqr		头圈、头泉
tzre		头热
tzri		头日
tzrs		投融
tzry		透润
tzrz		透肉
tzsi		透死
tzta		偷塔
tzti		透题
tztp		头铁
tztu		头秃、偷图、头图
tztv		投退
tzty		头屯
tzuj		透扇
tzuw		投谁
tzux		头刷
tzvd		偷摘
tzvg		头正
tzwh		偷网
tzwo		偷我
tzwu		头午、投物
tzxr		头癣、头眩
tzye		头夜
tzys		投用
uaaa		啥啊
uaan		沙岸
uabf		傻笨
uabw		傻呗
uacc		莎草
uaci		啥词
uaco		杀错
uads		沙东
uadz		啥都
uaer		傻儿、沙二
uafg		杀疯、沙峰
uagj		傻干
uagk		杀怪
uags		煞贡
uagv		杀鬼
uaho		傻货
uahs		杀红
uahu		砂壶
uaia		傻叉
uair		杀穿
uajn		啥叫
uajr		纱绢
uaju		杀局
uakd		杀开
uaks		沙孔、杀空
uakz		沙口
ualr		傻卵、杀卵
ualw		沙雷
uamk		啥名
uand		纱奈
uane		啥呢
uanh		砂囊
uani		杀你
uanj		沙南
uanm		杀念
uanp		砂镍
uapc		傻狍
uapm		啥片
uapo		傻婆
uaqt		傻缺
uarr		杀软
uasr		沙蒜
uata		杀他、杀她
uati		啥题
uatn		纱条
uatp		砂铁
uatv		杀退
uauj		沙山
uauv		杀谁
uauw		杀谁
uava		刹闸
uavf		杀阵
uavj		傻站
uawa		傻娃
uawf		杀蚊
uawo		杀我、沙窝
uaxs		傻熊
uaxx		杀下
uayb		砂银
uayc		啥药
uayk		沙鹰、杀婴
uays		啥用
uazc		沙枣
uazj		沙赞
uazo		傻坐
ucan		稍安
ucbi		烧逼
uccc		烧草
ucci		稍次、少词
uccs		少从
uccu		稍粗
uccy		少存
ucdj		稍淡
ucdk		稍定
ucdo		稍多
ucdr		稍短、烧断
ucdv		少对
ucfg		少峰
ucfh		少放、哨房
ucfw		少飞
ucgg		少耕
ucgj		稍感、少干
ucgu		少雇
ucgv		稍贵
uche		少喝
uchr		稍缓
uchw		烧黑
uchy		烧昏
ucie		少扯、烧车
ucih		稍长
ucij		少产
ucir		少穿、烧穿
ucis		少冲、少充
uciy		韶春
uciz		少抽
ucjb		少进、烧尽
ucjs		少囧
ucjt		稍觉、少觉
ucjy		少君
uckd		烧开
ucke		少刻、稍可
uckh		烧炕、少康
uckk		少块、稍快
uckr		少款、稍宽
uckz		少扣
ucla		烧腊
uclc		少牢
ucle		少了、烧了、捎了
ucli		少理、少礼
uclj		烧蓝
uclk		烧零、少陵
uclm		少练
ucln		少聊、烧料
uclo		少萝、烧萝
uclp		少列
uclq		少留
uclt		少略
uclz		哨楼
ucmm		烧面
ucmw		烧煤、少寐
ucna		少拿
ucnn		少尿
ucnq		烧妞
ucpd		烧牌
ucpi		少皮
ucpj		少盘、烧盘
ucpm		哨片
ucpw		少陪
ucqi		烧起、烧气
ucql		少强、稍强
ucqu		捎去
ucqy		少群
ucrc		少绕
ucrf		少人
ucro		稍弱
ucrs		烧熔
ucsr		少算
ucss		少送
ucsy		烧损
uctc		烧陶
uctd		烧胎
ucti		少提
uctk		稍停、少听
uctn		烧条
uctp		少贴
uctv		少腿、稍退
ucud		捎色、少晒
ucuz		少受、少收
ucvf		烧针
ucvg		少挣、少征
ucvs		稍重
ucvz		烧粥、韶州
ucyj		韶颜
ucyk		少英
ucyr		稍远
uczc		稍早
uczd		少在、少栽
uczz		少走
udci		筛词
uddc		晒到
udde		晒得
uddn		筛掉
uder		色儿
udfa		晒垡
udff		晒分
udge		晒个
udgo		晒过
udhc		筛号
udhz		晒后
udie		晒车
udiu		晒出、筛出、筛除
udjm		筛检
udjq		筛酒
udke		晒课、晒客
udks		筛孔
udkz		晒口
udlm		晒脸
udlv		筛滤
udmk		晒命
udnn		晒鸟
udnr		晒暖
udpm		筛片
udqm		晒钱
udsi		晒死
udtm		晒田
udva		筛渣
udvc		晒照
udve		晒着
udwf		晒纹
udwh		晒网
udwo		晒我
udyc		筛药
ueba		射吧
uebk		舌病
uebm		蛇鞭
ueci		舍此、设词
uedc		蛇岛
uedd		赊贷
uedi		舍弟
uedr		舌端
ueds		摄动
uedy		蛇盾
uedz		蛇豆
ueff		蛇粉
uefj		社饭
uefw		社费、奢费
uegr		社管、舍管
uegu		涉谷、蛇谷
uegw		赊给
uegx		蛇瓜
uehc		设好
uehz		射后
ueir		射穿
uejp		赊借
uejq		蛇酒
uelr		蛇卵
uema		射马
uemb		社民
uemc		蛇矛
uemd		赊买
uemj		射满
uemu		蛇母
uemw		社媒
uenw		舍内
uepm		射偏
ueqr		蛇拳
uerf		慑人、舍人
ueta		射他
uetc		设套
ueth		蛇汤
uetm		射天、舌舔
uets		舌痛
uetu		摄图
ueue		蛇舌、射射
ueuh		射伤
ueul		射爽
ueuu		蛇鼠、射术
uevf		蛇阵、舌诊
uevl		舌状
uevr		摄篆
uevu		社渚
uevz		歙州
uewu		蛇舞、舍务
uexb		蛇信
ueys		折佣
ueyt		奢悦、射月
uezc		舌燥
uezd		射在
uezi		涉资
ufci		神祠
ufcy		身寸
ufdi		神帝
ufdj		审单
ufdo		甚多
ufgf		申根、身根
ufgo		伸过
ufgr		神官
ufgw		伸给
ufhf		深恨
ufjt		肾蕨、深觉
ufkk		甚快
ufkr		身宽
ufkz		深口
uflc		矧佬
ufle		神了、深了、伸了
uflo		神罗
ufmc		神貌
ufmd		深埋
ufmj		甚慢
ufmp		神灭
ufmz		深眸、深谋
ufne		神呢
ufni		神尼
ufnj		深南、甚难
ufnm		神念、甚念
ufnn		神鸟
ufnu		神怒
ufnw		神内
ufou		申瓯
ufpd		慎拍
ufpn		审票
ufpw		审配
ufqb		身亲
ufqt		神阙
ufrv		神瑞
ufsj		神三
uftg		沈腾、肾疼
ufth		参汤、糁汤
uftp		神贴、审帖
uftu		神图、神途
ufvc		神照、伸爪
ufvg		身正、审证
ufwa		深挖
ufwj		审完
ufwo		申沃、神我
ufzd		身在
ufzv		神嘴、伸嘴
ufzy		神尊
ufzz		申奏
ugbn		省标
ugcc		生草
ugch		升舱
ugco		生错
ugdg		圣灯
ugdk		盛鼎、胜定
ugdr		升段、生端
ugfo		圣佛
uggj		升干
uggv		声轨
uggx		生瓜
ughd		生孩
ughe		生贺
ughf		生恨
ugic		生炒
ugiv		圣锤
ugiy		胜春
ugke		生克
ugle		生了、省了、升了
uglm		盛联、盛殓
uglo		圣罗
uglr		生乱
ugmd		生脉
ugmp		生灭
ugnd		生奶
ugni		生你、生腻
ugnk		盛宁
ugnm		生年
ugnn		圣鸟
ugno		声喏
ugns		圣农
ugpd		胜牌
ugpj		升盘、圣盘
ugpu		胜浦、圣普
ugpw		生胚
ugqq		胜球、盛秋
ugsh		圣桑、声嗓
ugss		声诵
ugts		生铜
ugtz		绳头
uguf		圣神
uguo		生说
ugvc		省招、胜招
ugvf		声震
ugvk		生拽
ugvr		圣传
ugwj		生完
ugwo		剩我、胜我
ugzd		胜在
ugze		圣泽
uhcr		上窜
uhdj		上单、商单
uhdo		上多
uhdu		上都
uhgo		上过、上锅
uhgw		赏给
uhha		上哈
uhhg		上横
uhhl		商潢
uhhs		尚红
uhhy		商混
uhhz		上后、伤后
uhjq		上酒
uhkg		上坑
uhkk		商侩
uhkl		上夼、上框
uhku		尚酷
uhle		上了、伤了、赏了
uhli		上例
uhln		上料
uhlt		上略
uhlw		上垒
uhly		上轮
uhmj		上满
uhna		上哪
uhnc		伤脑
uhni		赏你
uhpa		上爬
uhpi		上皮、上批
uhpn		上票、商票
uhql		上墙
uhsd		商赛
uhss		商颂
uhsz		上搜、商搜
uhtg		上腾
uhtk		伤停
uhto		上托、商妥
uhtp		上贴
uhtv		上腿、上推
uhuk		尚帅
uhur		上闩
uhvc		上找
uhvs		伤重、上钟
uhwa		上洼
uhwo		上我
uhxp		上写
uhya		上呀
uhze		上则
uhzi		商字
uicg		十层
uicj		实参、实惨
uicv		拾翠
uidp		师爹
uidz		市斗
uigg		石更
uigw		是给
uigz		是够、石沟
uiha		是哈
uihf		是很
uihj		湿寒、诗函
uiic		尸潮、世超
uikc		是靠
uikd		是开、石开
uikh		视康、石康
uilr		石卵
uimd		试卖、试麦
uimg		食梦
uimh		视盲
uimp		是咩
uini		使你、尸泥
uioo		是哦
uipf		屎盆
uipj		石盘
uiqq		失球、石球
uisc		师嫂
uish		失丧
uiss		试送
uisv		十岁
uita		使他
uitc		十套
uiuc		事少、食少
uiux		十刷
uivz		施咒、实轴
uiwa		是哇
uiwo		使我
uiyc		誓要
uiyo		是哟
uizv		石咀、是最
uizz		视奏
ujai		闪爱、山隘
ujbk		单冰
ujbo		单波、闪播
ujcd		山财
ujce		山侧
ujco		删错
ujcs		山丛
ujdp		闪碟
ujdr		闪断、善断
ujer		珊儿
ujfa		善法、缮发
ujfj		删繁
ujhw		删黑
ujjb		闪进、删尽
ujks		删空
ujmo		闪魔
ujnw		山内
ujpd		闪拍
ujph		山旁
ujqb		山芹
ujsi		扇死、善思
ujsr		山蒜
ujsu		膳宿、闪速
ujwf		单文、善文
ujxq		闪秀
ujzc		山枣
ujze		山泽
ujzo		擅作
ujzr		闪钻
ujzz		删走
ukbb		衰鬓
ukbk		帅兵
ukbo		蟀脖
ukcj		衰残
ukcs		甩葱
ukde		摔得
ukdi		衰弟
ukdj		甩单
ukdk		率定
ukdm		帅点
ukdo		衰惰、衰堕
ukdr		摔断
ukdw		帅得
ukfa		帅法、衰乏
ukfg		帅丰
ukfu		帅府
ukfw		甩飞、帅飞
ukgv		甩柜
ukgw		甩给
ukgx		甩挂
ukgy		甩棍
ukhu		帅虎
ukhv		帅辉
ukie		甩车、摔车
ukig		摔成
ukju		甩狙
ukke		帅客
ukkh		帅康
ukku		衰枯
ukky		衰困
ukld		甩来
ukle		甩了、摔了、帅了
uklm		帅脸、甩脸
ukls		衰癃
ukmb		衰民
ukmo		衰末
ukni		甩你
uknm		衰年
ukpi		衰疲
ukql		甩腔、甩枪
ukqu		甩去
ukrs		衰冗
uksa		衰飒
ukse		衰色
uktg		摔疼
uktn		衰条
ukts		摔痛
uktu		帅图
ukva		帅炸
ukve		摔着
ukvg		帅正、帅政
ukvs		甩中
ukwf		摔纹
ukwj		甩完、摔碗
ukwo		甩我
ukxi		衰葸
ukxk		帅醒
ukxl		甩项
ukxx		摔下、甩下
ukya		帅呀
ukyh		衰样
ukyj		帅偃、衰颜
ukyy		帅晕、衰运
ukzd		甩在、衰仔
ukzi		帅子、衰仔
ukzs		衰宗
ukzu		甩租
ulaa		爽啊
ulbg		双泵
ulbo		双播
ulcc		双槽
ulcd		双彩
ulch		双仓
ulci		双刺、双词
ulde		爽的、爽得
uldm		爽点
uldr		双端
uldu		爽度
uldy		双盾
ulfu		爽肤、双斧
ulge		双格
ulgf		双根
ulgl		双光
ulhj		霜寒
ulhk		双槐
ulho		双活、双获
ulhs		双红
ulhw		双黑
ulhx		爽滑
ulhy		双魂
ulia		双插
ulie		双车
ulii		双持、双翅
uljb		双金、双紧
ulkh		双抗
ulla		双拉
ulle		爽了
ullj		双兰、霜蓝
ullk		双菱
ulll		双亮、双良
ullr		双滦
ullu		双路
ullv		双氯
ullw		双雷、双类
ulmk		双名
uloo		爽哦
ulpc		双炮
ulpf		双喷
ulpi		双皮
ulpj		双盘
ulpo		双坡
ulpw		双培
ulqp		双切
ulqt		双阙
ulre		双热
ulrr		双软
ulrs		双荣
ulrv		双瑞
ulsi		爽死
ulsj		双三
ulso		双锁、双缩
ulsu		双宿
ulti		双体
ultu		双图
ulue		双摄、爽射
uluj		双山、双闪
uluy		双顺
ulva		爽炸
ulvl		双庄
ulvr		双专
ulvs		双中
ulwd		爽歪
ulwf		爽文、霜纹
ulwh		双亡、双王
ulxp		双鞋
ulxu		霜序、霜絮
ulxx		双侠、双下
ulya		双押
ulyc		双摇
ulyr		双源
ulyz		双优
ulzc		双早
ulzd		霜灾
ulzg		双增
ulzr		双钻
ulzv		爽嘴
uoaa		说啊
uobu		说不
uobw		说呗
uoco		说错
uode		说得
uodo		说多
uodw		说得
uoff		说分
uofj		说反
uogj		说干
uogr		说惯
uogu		说古
uogx		说卦
uogz		说够
uohd		说还
uoho		说活
uohr		说还
uoia		说茶
uoii		蒴齿
uojb		说尽
uojm		说件
uojq		说就
uojx		说价、说家
uoku		说哭
uoky		说困
uolo		说咯
uolp		说咧
uolz		说漏
uomc		说毛
uomd		说买
uomg		说梦
uomh		说忙
uomj		说满
uomo		朔漠
uona		说那
uonb		说您
uone		说呢
uong		说能
uonj		说难
uopi		说屁
uoqr		说全
uorh		说让
uosa		说撒
uosd		说噻
uosi		说死
uotz		说透
uoua		说啥
uoue		说舌
uouf		说甚
uouh		说上
uouv		说谁
uouw		说谁
uovl		硕壮
uovy		说准
uoxk		说行
uoxt		朔雪
uoya		说呀
uoyc		说要
uoye		朔夜
uoyi		说以
uoyr		说远、说苑
uoys		说用
uoyu		朔玉
uoyz		说有
uozc		说早
uozj		说咱
uozo		说作
urcd		涮菜
urdk		栓钉
urdu		涮肚
urhc		拴好
urir		涮串
urjb		闩紧
urle		栓了、涮了
urmf		闩门
urpb		涮品
urrf		栓人、涮人
ursi		拴死
urtz		栓头
urur		涮涮
urve		拴着、栓着
urwo		涮我
urxi		涮洗
urxm		拴线
urzi		栓子
uubi		数笔
uubk		薯饼
uuch		数仓
uucu		暑促
uudg		书灯
uudo		树多
uudp		舒蝶
uudv		数对
uugh		竖杠
uugk		树怪
uuhg		竖横
uuhh		竖行
uuho		舒活
uujl		蜀将、书将
uujt		数觉
uukd		疏开
uukv		蜀葵
uula		输啦
uulh		舒朗
uulr		输卵
uult		疏略
uulu		书路
uumc		梳毛、数毛
uumf		蜀门、熟门
uunc		书脑
uund		舒耐
uung		孰能
uuni		数你
uunk		舒宁
uunu		书奴
uunw		书内、数内
uupj		输盘
uupn		书票、赎票
uupw		输配
uuro		孰若
uusf		树森
uusz		数艘
uuta		薯塔
uute		舒特
uuth		熟烫
uutp		书铁
uuuz		束手
uuve		竖着、数着、输者
uuwf		竖纹、熟文
uuwo		恕我
uuze		述责
uuzo		数座、述作
uvbc		睡饱
uvbp		水鳖
uvbu		睡不
uvdh		水荡
uvdo		水多、睡多
uvdu		水都
uver		水儿
uvfj		水饭
uvgu		水谷
uvgx		水瓜
uvhe		水喝
uvhf		水痕
uvhj		水寒
uvhy		水魂
uvio		睡戳
uvir		水船
uviz		水抽
uvka		水卡
uvlb		水淋
uvle		睡了、水了
uvlj		水蓝
uvlz		水楼、水漏
uvma		睡吗、水马
uvmi		水米
uvmj		水漫、水满
uvmk		水命
uvmn		水淼
uvmw		睡没
uvnj		水南
uvqp		水切
uvsi		睡死、水司
uvso		税所
uvss		水松
uvsu		水素
uvtd		睡态、水台
uvtg		水藤
uvtk		水亭
uvtp		水帖、水贴
uvty		水豚
uvuo		水硕
uvvd		水寨
uvvf		水镇
uvvh		税账
uvwj		睡完、水湾
uvxn		税校
uwba		谁把
uwbf		谁笨
uwbh		谁帮
uwbj		谁办
uwbm		谁边
uwbw		谁被
uwcg		谁曾
uwco		谁错
uwdc		谁到
uwds		谁懂
uwgw		谁给
uwgx		谁挂
uwjl		谁将
uwjn		谁叫
uwkk		谁快
uwle		谁了
uwma		谁吗
uwmf		谁们
uwmw		谁没
uwna		谁拿
uwne		谁呢
uwng		谁能
uwns		谁弄
uwoo		谁哦
uwpa		谁怕
uwpd		谁拍
uwrh		谁让
uwsi		谁死
uwtk		谁听
uwtz		谁偷
uwuh		谁上
uwui		谁是
uwvc		谁找
uwwa		谁哇
uwwf		谁问
uwwj		谁玩
uwxm		谁先
uwxp		谁写
uwxt		谁学
uwya		谁呀
uwyj		谁演
uwyo		谁哟
uwyr		谁愿
uwyt		谁约
uwzz		谁走
uxbh		刷榜
uxbi		刷币
uxbk		刷兵
uxbu		刷不、刷步
uxbw		刷呗
uxco		刷错
uxda		刷大
uxdc		刷到
uxdg		刷灯
uxdm		刷点
uxdu		耍都
uxfa		耍法
uxfh		刷房
uxfj		刷反
uxge		刷个、耍个
uxgl		刷光
uxgv		刷鬼
uxgz		耍够
uxhc		刷好
uxho		刷火
uxhv		刷会
uxhw		刷黑
uxia		耍叉
uxie		刷车
uxig		刷成
uxii		刷耻
uxjn		刷胶、耍娇
uxjr		刷卷
uxjx		耍假
uxke		刷客
uxkr		刷款
uxle		刷了、耍了
uxli		刷利
uxls		刷龙
uxlv		刷绿
uxlw		刷雷
uxlz		刷楼
uxmj		刷满
uxni		耍你
uxpd		刷牌
uxpj		刷盘
uxpm		刷片
uxpo		刷坡、耍泼
uxqi		刷漆
uxqm		刷钱
uxru		刷入
uxse		刷色
uxsi		刷丝
uxsr		刷酸
uxta		刷塔
uxtm		刷天
uxtu		刷图
uxtz		刷头
uxue		耍蛇
uxuu		刷书
uxuv		刷水
uxva		耍诈
uxve		刷着、耍着
uxvz		刷帚
uxwo		耍我
uxxm		刷线
uxxs		耍熊
uxyb		耍阴
uxye		刷野、刷夜
uxyu		刷鱼
uxyz		刷油
uxzj		刷赞
uxzr		刷钻
uxzv		耍嘴
uybc		瞬爆
uybo		顺铂
uybw		顺北
uyds		顺东、顺动
uydu		舜都
uyfa		瞬发
uygg		舜耕
uygl		顺光
uygo		顺过
uyhs		顺宏
uyic		顺潮
uyie		顺车
uyjp		顺接
uyjx		顺价
uyke		顺科
uykh		顺康
uyle		顺了
uylm		顺联
uylo		顺络
uyls		顺龙
uymc		顺毛
uymd		顺迈
uymk		顺命
uymo		吮墨
uynd		吮奶
uynj		顺南
uynk		顺宁
uynv		顺女
uypb		顺嫔
uypd		顺排
uypo		顺坡
uyql		顺强
uyse		顺色
uyte		顺特
uyts		顺通、顺同
uytu		顺图
uytv		顺推
uyua		瞬杀、瞬霎
uyuo		顺说
uyuu		顺数
uyvr		顺转
uywd		顺外
uywf		顺纹
uywh		顺网
uywo		顺我
uyxn		顺销
uyxr		顺轩
uyza		吮咂
uyze		顺泽
uyzz		顺走
uzai		手癌
uzbh		守榜
uzcu		手粗
uzde		瘦得
uzdg		手灯
uzdh		手挡
uzdn		收掉
uzdo		首夺
uzfg		受封、受风
uzgd		手改
uzgf		首根
uzhf		兽痕
uzhl		兽皇
uzhy		兽魂、收魂
uzia		收茶
uzij		受禅
uzir		手串、寿川
uziz		手抽、手臭
uzka		售卡
uzkh		寿康
uzkl		收矿
uzlb		手拎
uzlc		受劳
uzld		收来
uzmc		手毛
uzmi		收米、守秘
uzmz		首谋
uzne		手呢
uzni		手泥
uznk		寿宁
uznl		兽娘
uznm		首年
uznq		受扭
uzns		首农
uznu		手弩
uzou		手偶
uzpf		手盆
uzpg		手捧
uzpk		首屏、收枰
uzpo		首破、受迫
uzpu		熟普
uzpw		首配
uzqp		手切
uzrj		受染
uzse		收涩
uzss		收送
uzta		守塔
uztg		手疼
uztm		授田
uzts		手痛
uzuc		手勺
uzue		兽设、守舍
uzuj		守山、手删
uzux		首刷、手刷
uzuy		手顺
uzvc		收招、手爪
uzvl		兽装、首状
uzvr		收转
uzwo		手握
uzxs		收胸
uzzc		手造
uzzh		手脏
uzzj		首赞
uzzr		手钻
uzzs		首宗
vabd		诈败
vabk		诈病
vabu		咋补
vacc		铡草
vaci		扎刺
vadd		扎带
vadi		炸堤
vadm		炸点
vaer		吒儿
vaff		炸粉
vafj		炸翻、渣翻
vafu		炸服、乍富
vafw		炸飞、炸肺、榨废
vagd		轧盖
vagv		炸柜
vahc		扎好
vahj		乍寒
vahu		咋唬、炸胡
vaie		炸车
vaij		蚱蝉
vaiu		炸出、榨出
vaiz		柞绸
vajb		扎进、扎紧
vajk		榨精
vajp		炸街
vakg		渣坑
valc		扎牢
vale		炸了、扎了
vall		乍凉
valm		乍练
valu		炸炉
vamd		炸麦
vamm		炸面
vanr		乍暖
vanv		渣女
vapb		炸频
vapo		扎破
vaqi		扎旗
vaqm		诈钱
vaqn		炸桥
vaqr		查拳
vaqy		炸群
varf		扎人
varz		炸肉
vata		炸塔
vatd		扎胎
vath		炸膛、榨糖
vatm		炸天
vatr		炸团
vaue		榨射
vauu		炸熟、诈术
vavd		扎寨
vave		眨着、扎着
vavg		扎挣
vavh		扎帐
vavj		闸站
vavu		扎住
vawj		炸完
vayi		乍一
vazd		扎在
vazv		扎嘴
vcbc		找宝
vcbo		兆波
vcbp		找别
vcde		找得
vcdj		照单
vcdv		找对
vcdz		找都
vcff		找份
vcfj		找烦
vcfu		照付
vcge		找个、招个
vcgf		找根
vcgw		找给
vcgz		爪钩
vchc		找好
vchf		招恨
vchs		找轰
vchx		招花
vchz		照后
vcii		照吃、找吃
vcik		找踹
vcis		找虫
vcjn		招教
vcju		照举
vcke		找课
vckk		找块
vckz		找口
vcle		找了、招了、着了
vclm		招联
vclx		找俩
vcly		找抡
vcmb		兆民
vcme		找么
vcmj		招满
vcmw		找没
vcnb		找您
vcnc		着恼
vcni		找你
vcnm		兆年
vcnq		找妞
vcnv		找女
vcpa		兆帕
vcqu		招去
vcqy		罩裙
vcru		招入
vcsr		照算
vctu		找图、招徒
vcua		找啥
vcuc		照烧
vcud		照晒
vcuv		找谁、找水
vcuw		找谁
vcwf		朝闻
vcwj		找完
vcwo		找我
vcxq		罩袖
vcxu		招婿
vcxx		找下
vcyt		诏曰
vcyz		找有
vczs		赵总
vczw		招贼
vczz		找揍
vdbj		窄版
vdbn		窄表
vdbo		窄波
vddc		摘到
vddh		摘挡
vddo		债多
vddz		宅斗
vdgo		摘果、斋果
vdgs		斋供
vdgv		摘桂
vdhh		窄行
vdhr		摘环
vdia		摘茶
vdjk		摘镜
vdjn		斋醮、斋教
vdmk		斋名
vdmm		斋面、窄面
vdpb		窄频
vdpd		摘牌
vdph		宅旁
vdpk		摘评
vdpw		宅配
vdql		宅墙
vdqn		寨桥
vdri		斋日
vdsi		斋祀
vdtc		摘桃、摘套
vdtd		债台
vdtj		斋坛
vdtm		斋天
vdtn		窄条
vdtz		寨头
vdue		宅舍、斋舍
vduh		寨上
vdui		债市
vduo		摘说
vdve		宅着
vdvi		宅址
vdvr		债转
vdvs		宅中
vdwd		寨外
vdwh		窄网、债王
vdxi		择席、债息
vdxp		砦蟹
vdya		寨牙
vdzd		宅在
vdzz		摘走
veaa		着啊
veba		这把
vebc		这包
vebg		哲蚌
vebk		折兵
vebn		这表
vebp		哲别
vece		这册
vecj		这餐
vecs		这从
vecu		浙醋
vedg		这等、折凳
vedn		遮掉
veds		这栋
vedu		遮肚、这都
vefa		折法
vefw		喆啡、这非
vegf		这根
vegj		浙赣
vegw		这给
vegz		这够
vehd		这还
vehz		折后、这后
veia		这茬
veiu		这出、这处
veke		这可、这颗
vekj		着看
vele		着了、折了
vemm		遮面
vena		这哪、这那
venj		浙南
venv		这女
vepa		这怕
vepd		这牌
vepf		这盆
vepg		遮篷
vepn		这票
vepo		这破
verz		遮肉
vesa		这仨
vese		赭色
veso		这所
vesz		这艘
veti		这题
vetj		这摊
vetk		这挺
veto		这坨
vetp		这贴
vetr		这团
vets		这通、这桶
veug		这声、哲圣
veuo		这说
veuv		这谁
veuw		这谁
veve		遮遮
vevj		这盏
vewf		这文
vexi		浙西
veya		这丫
veyr		浙源
veys		这用
veyu		遮雨
veyz		这有、这又
vezv		折罪
vfba		真把
vfbd		真白
vfbu		真不
vfbw		真被、真背
vfco		真矬
vfcv		真脆
vfdc		针刀、振刀
vfdd		真带、真呆
vfdn		真叼
vfdo		真多
vfdq		真丢
vfdw		真得
vffh		针纺
