a	啊
furt	氟
fusg	腐
fusg	府
fusz	负
futn	垺
futt	弗
fuua	祓
fuun	袱
fuup	福
fuva	韨
fuvg	腑
fuvn	肤
fuvq	腹
fuvq	脯
fuvq	服
fuwa	黻
fuwn	麸
fuwn	稃
fuwp	匐
fuwq	黼
fuwq	馥
fuxa	芾
fuxa	芣
fuxg	苻
fuxn	茯
fuxn	莩
fuxn	芙
fuxq	菔
fuxt	茀
fuyg	鲋
fuyn	凫
fuza	赴
fuzg	赋
fuzg	跗
fuzn	趺
fuzq	妇
fuzy	赙
fwbt	沸
fwbv	淝
fwcn	悱
fwcn	𬴂
fwcn	霏
fwdn	诽
fwhn	吠
fwhn	啡
fwin	扉
fwjn	绯
fwkz	镄
fwna	斐
fwnm	翡
fwnm	蜚
fwnn	非
fwno	棐
fwns	剕
fwon	榧
fwoo	飞
fwrn	篚
fwsn	痱
fwsq	废
fwtz	费
fwva	肺
fwvn	腓
fwvt	狒
fwvv	肥
fwvy	朏
fwwn	匪
fwxa	芾
fwxn	菲
fwyn	鲱
fwzv	妃
fznh	否
fzzz	缶
gadq	旮
gafh	伽
gagg	尜
gahh	咖
gahr	嘎
gahw	噶
gako	钆
gann	夹
ganr	戛
gapa	尬
gavg	尕
gcch	告
gccp	郜
gcdh	诰
gcdr	糕
gcek	睾
gcir	羔
gcjh	缟
gckh	锆
gckh	镐
gclh	搞
gcoh	槁
gcop	槔
gcqo	杲
gcrh	筶
gcrh	篙
gcuh	高
gcuv	膏
gcwh	稿
gcxo	藁
gcyp	皋
gdba	溉
gddg	该
gdia	盖
gdko	钙
gdno	丐
gdoa	概
gdpg	陔
gdpv	𬮿
gdqg	晐
gdtg	垓
gdvq	改
gdvr	戤
gdxa	芥
gdxg	荄
gdzg	赅
geaq	饹
gebn	滆
geey	舸
gefl	仡
gega	个
gegh	合
gegy	鸽
gehn	嗝
gehq	咯
geia	盖
geis	割
gejq	硌
gekn	镉
gekq	铬
gelq	搁
gemh	蛤
geml	虼
gemm	革
genn	鬲
geoq	格
gepn	隔
gepy	哿
geqq	各
gerr	戈
gesl	疙
getl	圪
getn	塥
geuq	袼
geuq	骼
gevn	膈
gevq	胳
gewq	阁
gexw	葛
geyg	歌
geyy	哥
gfcc	艮
gfhc	哏
gfnn	亘
gfoc	根
gfxc	茛
gfzc	跟
ggbn	浭
gger	耿
ggez	颈
gghn	哽
ggin	羹
ggjn	绠
ggjv	𬒔
ggnl	耕
ggnn	更
ggon	梗
ggqn	暅
ggsg	庚
ggsy	鹒
ggsz	赓
ggtn	埂
ggyn	鲠
ghag	罡
ghbe	冮
ghbv	港
ghdc	戆
ghje	矼
ghjn	纲
ghkn	钢
ghle	扛
ghoe	杠
ghon	㭎
ghrn	筻
ghtg	堽
ghtw	鿍
ghve	肛
ghwn	冈
ghws	刚
ghyn	岗
ghze	缸
gjbk	淦
gjbm	泔
gjbm	㽏
gjbq	澉
gjdz	赣
gjew	酐
gjgw	玕
gjjm	绀
gjjw	矸
gjlw	擀
gjmm	甘
gjmw	虷
gjom	柑
gjoq	橄
gjoq	敢
gjow	杆
gjpa	尴
gjqw	旰
gjrc	感
gjrw	竿
gjsm	疳
gjtm	坩
gjvw	肝
gjww	秆
gjww	干
gjxm	苷
gjyc	鳡
gjzw	赶
gkct	怪
gklg	掴
gklp	拐
gkon	夬
gkwt	乖
glba	洸
glea	𨐈
glga	光
glga	珖
glha	咣
gloa	桄
glss	广
glta	垙
glva	胱
glvp	逛
glvs	犷
goag	帼
goan	馘
goao	馃
gobg	涡
gobg	𬇹
godo	粿
goeg	国
goeh	聒
gohg	呙
gokg	锅
gomg	蝈
gomn	虢
gomo	蜾
gono	裹
goon	椁
goqo	果
gotg	埚
goup	郭
govg	腘
goyn	崞
goyp	过
gran	关
grao	馆
grbg	灌
grbo	涫
grcz	惯
grea	盥
grfo	倌
grgg	瓘
grgo	琯
grio	官
griy	冠
grjt	纶
grlz	掼
groo	棺
grpp	毌
grpz	贯
grqz	观
grra	筦
grrg	爟
grro	管
gruo	祼
grxa	莞
grxy	鹳
grxy	蒄
grya	鳏
gryo	鳤
grzg	罐
gsao	躬
gsat	公
gsda	龚
gseb	汞
gsee	工
gsen	巩
gsep	功
gseq	攻
gsez	贡
gsfa	供
gsga	珙
gsih	宫
gsja	硔
gsla	拱
gsma	共
gsmc	恭
gsmp	䢼
gsmt	蚣
gsoo	弓
gsvt	肱
gswa	觥
guah	谷
guap	罟
guau	馉
gubp	沽
gubq	汩
gubt	瀔
guch	牿
gucp	牯
gucy	鹄
gudp	诂
guep	轱
guep	酤
guep	固
guez	贾
gufp	估
guhm	呱
guhp	咕
guig	雇
guit	羖
gukp	锢
gukp	钴
guma	蛊
gump	蛄
gunm	孤
guoh	梏
gupp	古
gupq	故
gupq	嘏
gups	辜
gupy	鸪
gura	箍
gusp	痼
gusz	顾
gutp	堌
gutq	瞽
gutq	鼓
gutt	毂
gutt	榖
guuu	骨
guuy	鹘
guvp	𦙶
guvq	臌
guvt	股
guwm	觚
guxm	菰
guxp	菇
guxu	蓇
guyp	鲴
guyp	崮
guzp	姑
gvaq	归
gvdv	诡
gved	轨
gvgp	瑰
gvgs	刽
gvgt	珪
gvid	宄
gvjt	硅
gvln	癸
gvmz	贵
gvnn	鬶
gvnz	规
gvot	桧
gvot	桂
gvow	柜
gvpp	鬼
gvqh	晷
gvqr	炅
gvra	簋
gvrt	筀
gvsp	龟
gvsq	庋
gvtp	邽
gvtt	圭
gvwd	匦
gvwt	闺
gvyg	鳜
gvyq	皈
gvys	刿
gvyt	鲑
gvzp	妫
gvzv	姽
gvzv	跪
gwjh	给
gxdt	诖
gxhm	呱
gxhs	剐
gxis	寡
gxlt	挂
gxmm	瓜
gxoh	栝
gxta	卦
gxtm	坬
gxua	褂
gxvm	胍
gxws	刮
gxwy	鸹
gybt	滚
gyet	辊
gyjt	磙
gyjt	绲
gynt	衮
gyot	棍
gyyj	鲧
gzbt	沟
gzdh	诟
gzfh	佝
gzjr	缑
gzkt	钩
gzmn	鞲
gznp	遘
gznz	觏
gzoh	枸
gzot	构
gzph	耇
gzrh	笱
gzrn	篝
gzth	垢
gztt	彀
gzvh	狗
gzwg	雊
gzwh	句
gzwl	够
gzwt	勾
gzxh	苟
gzyh	岣
gzzh	姤
gzzn	媾
gzzt	购
hahh	哈
hakh	铪
hamh	蛤
hcbe	濠
hcbh	浩
hcbn	淏
hcbz	灏
hceq	貉
hche	嚎
hchh	嚆
hcho	号
hchp	嗥
hcmm	蚝
hcnm	耗
hcqn	昊
hcqz	颢
hcte	壕
hctp	郝
hcue	豪
hcum	毫
hcup	鄗
hcxh	蒿
hcxy	薅
hcyh	皓
hcyp	皞
hczn	好
hdbp	海
hdcg	骇
hdea	醢
hdhg	咳
hdhh	嗐
hdhh	咍
hdhp	嗨
hdih	害
hdng	孩
hdnp	还
hdrg	氦
hdug	骸
hdvg	胲
hdvg	亥
heah	饸
heat	壑
hebp	涸
heby	河
hedy	诃
heeq	貉
hefy	何
hega	盒
hegh	合
hegl	龁
hegp	郃
hegw	龢
hegz	颌
heha	吓
hehw	喝
hehy	呵
hehy	嗬
heig	隺
heiy	鹤
hejl	纥
hemh	翯
hemw	鞨
henm	翮
heog	核
hepz	贺
heqw	曷
heqy	鹖
herh	熇
heta	盍
hetp	赫
hetq	垎
heuh	𬌗
heuw	褐
hevp	劾
hewa	阖
hewa	盉
hewg	阂
hewh	和
heww	禾
hexy	菏
hexy	荷
hfcc	恨
hfdc	𬣳
hfsc	痕
hfuc	很
hfvc	狠
hgcn	恒
hggk	珩
hghn	哼
hgkk	行
hgkn	衡
hgky	鸻
hgok	桁
hgon	横
hgtt	堼
hgun	亨
hgxn	蘅
hgzn	姮
hhbn	沆
hhen	航
hhhn	吭
hhjk	绗
hhkk	行
hhmv	巷
hhnp	夯
hhon	杭
hhvz	颃
hjbh	浛
hjbm	瀚
hjbq	汉
hjbw	汗
hjbw	涵
hjcc	憾
hjcw	悍
hjem	酣
hjgh	琀
hjhh	喊
hjhq	㘎
hjia	寒
hjiw	罕
hjlc	撼
hjlq	撖
hjlw	捍
hjlw	扞
hjmm	蚶
hjmp	邯
hjmw	虷
hjoc	憨
hjow	涵
hjow	函
hjpm	翰
hjpv	韩
hjqh	晗
hjqn	暵
hjqw	旱
hjrh	焓
hjrw	焊
hjtw	垾
hjvw	犴
hjwp	邗
hjwz	顸
hjxw	蔊
hjxw	菡
hjyh	嵅
hjyw	崡
hjyw	鼾
hjzh	含
hjzz	颔
hkbg	淮
hkca	怀
hkop	槐
hkta	坏
hkuh	徊
hkzo	踝
hlaa	幌
hlba	滉
hlbg	湟
hlbn	潢
hlca	恍
hlca	慌
hlcg	惶
hlda	谎
hleg	艎
hlgg	瑝
hlgn	璜
hlhg	喤
hlkg	锽
hlkn	𨱑
hlmg	蝗
hlmn	蟥
hlmn	黄
hlng	凰
hlpg	隍
hlqa	晃
hlrg	篁
hlrg	煌
hlrn	簧
hlsn	癀
hlug	徨
hlvv	肓
hlxa	荒
hlya	㿠
hlyg	鳇
hlyg	皇
hlyp	遑
hlzg	媓
hobh	活
hobp	漷
hobq	濩
hocg	霍
hocj	𬴃
hofh	佸
hofr	伙
hofz	货
hohg	嚯
hohq	嚄
hoih	豁
hokc	锪
hokq	镬
hokr	钬
holg	攉
homq	蠖
honh	耠
hoql	夥
horc	惑
horg	㸌
horn	或
horr	火
houg	祸
howh	和
hoxg	藿
hoxn	获
hoxs	劐
hray	鹮
hrba	浣
hrbc	漶
hrbn	涣
hrbn	洹
hrbn	澴
hren	貆
hren	圜
hrga	环
hrgn	𤩽
hrhc	患
hrhn	唤
hrie	豢
hrik	宦
hrin	寰
hrip	逭
hrja	𬘫
hrjn	缳
hrjo	幻
hrjq	缓
hrkn	镮
hrkq	锾
hrln	换
hrln	擐
hrnn	鬟
hrnp	还
hron	桓
hrqg	欢
hrqq	㬊
hrrn	焕
hrsn	痪
hrsn	奂
hrvg	獾
hrwp	郇
hrxg	萑
hrxn	荁
hrya	鲩
hryn	峘
hsaa	谼
hsat	竑
hsba	洪
hsbt	泓
hsby	鸿
hsde	讧
hseq	轰
hsge	玒
hsha	哄
hshc	吽
hshz	唝
hsin	黉
hsit	宏
hsje	红
hsjt	纮
hska	𫟹
hskt	𬭎
hsme	虹
hsot	弘
hspm	翃
hsra	烘
hswd	訇
hswt	闳
hsxa	蕻
hsxe	荭
hsxt	薨
huan	虎
huba	滹
hubc	淴
hubi	沪
hubp	浒
hubq	冱
hubv	湖
hucc	惚
hucp	怙
hucp	鄠
hucy	鹄
hudv	糊
huea	轷
huea	乎
huej	囫
huev	醐
hugn	琥
hugv	瑚
huha	呼
huhc	唿
huhn	唬
huii	户
huip	戽
huiv	扈
hujc	忽
huli	护
humv	蝴
hunm	瓠
huog	核
huom	弧
huop	槲
hupv	胡
hupy	鹕
huqi	昈
huqj	昒
huqq	互
hura	烀
hurj	笏
hurv	煳
hutn	壶
hutt	縠
hutt	觳
huup	祜
huuy	鹘
huvm	狐
huvv	猢
huwh	和
huwp	斛
huxv	葫
huyp	岵
huyq	鳠
huyq	鹱
huza	嫭
hvam	虺
hvbh	洄
hvbt	浍
hvbw	汇
hvbz	溃
hvcp	悔
hvcr	恢
hvdc	𬤝
hvdp	诲
hvdr	诙
hvdv	讳
hveh	回
hvge	辉
hvgt	会
hvhe	喙
hvhl	哕
hvhr	咴
hvjt	绘
hvjv	硊
hvkq	𬭬
hvle	挥
hvlp	㧑
hvmc	蟪
hvme	翚
hvmh	蛔
hvnc	惠
hvoc	橞
hvot	桧
hvpc	隳
hvpr	灰
hvpx	卉
hvqe	晖
hvqp	晦
hvrt	烩
hvrv	烠
hvsm	麾
hvtc	恚
hvuq	徽
hvuv	袆
hvwc	慧
hvwl	秽
hvwq	彗
hvxc	蕙
hvxh	茴
hvxt	荟
hvym	翙
hvyt	毁
hvzv	贿
hwhr	嘿
hwkr	𬭶
hwrr	黑
hxbu	滑
hxcp	骅
hxdh	话
hxfp	华
hxft	化
hxhp	哗
hxkp	铧
hxnw	画
hxop	桦
hxrs	划
hxvu	猾
hxwj	砉
hxwt	觟
hxxt	花
hxzw	婳
hyat	馄
hybe	溷
hybe	浑
hybt	混
hycq	惛
hyde	诨
hyge	珲
hyjq	碈
hykq	昏
hynp	魂
hywq	阍
hyxe	荤
hyzq	婚
hzdr	糇
hzeh	后
hzep	郈
hzep	逅
hzet	垕
hzfr	侯
hzfr	候
hzho	吼
hzhr	喉
hziy	鲎
hzkr	𬭤
hzrr	篌
hzsn	厚
hzsr	瘊
hztr	堠
hzuh	骺
hzvr	猴
hzyh	鲘
hzyh	齁
iaan	馇
iaay	岔
iaba	汊
iadn	𥻗
iadt	诧
iaft	侘
iahn	喳
iahy	嚓
iaie	差
iaiy	察
iajn	碴
iaky	锸
iaky	镲
ialg	搽
ialy	插
ians	刹
iaoa	杈
iaoe	槎
iaon	查
iaoy	檫
iaqa	叉
iatt	垞
iaua	衩
iavn	猹
iaxg	茶
iaxt	茬
iayn	嵖
iazn	蹅
iazt	姹
icao	巢
icbv	潮
icch	怊
iche	吵
ichv	嘲
icjp	绰
icke	钞
icle	抄
icne	耖
icoh	弨
icpv	朝
icqa	晁
icre	炒
icrp	焯
iczh	超
idey	豺
idfa	侪
idgo	柴
idie	差
idka	钗
idly	拆
idnm	虿
idse	瘥
idxk	茝
iebq	澈
iecl	掣
ieee	车
ieii	尺
ieje	砗
ielg	扯
ielq	撤
ieqq	㬚
iety	坼
ieus	彻
ifbn	沉
ifca	忱
ifdn	谶
ifdo	谌
ifgo	琛
ifgt	龀
ifgt	尘
ifha	嗔
ifik	宸
ifje	碜
ifjo	𬘭
ifkk	臣
iflp	抻
ifog	榇
ifop	郴
ifoz	梣
ifoz	棽
ifpe	陈
ifqa	瞋
ifqk	晨
ifro	煁
ifsk	辰
ifsr	疢
ifuy	衬
ifwg	称
ifze	趁
igbn	澄
igbq	澂
igcn	憕
igco	骋
igdo	诚
igeg	酲
igfn	偁
iggg	珵
iggo	珹
iggq	琤
ighg	呈
ighp	逞
igio	宬
igiu	牚
igko	铖
igkq	铛
igll	撑
igmt	蛏
ignb	承
igoe	枨
igon	丞
igon	橙
igot	柽
igqo	晟
igqt	瞠
igra	盛
igro	成
igsq	庱
igtg	埕
igto	城
igtz	赪
iguc	惩
igug	裎
igvt	塍
igwg	程
igwg	称
igwp	秤
igwt	乘
ihce	怅
ihch	惝
ihee	长
ihfe	伥
ihfq	倡
ihft	偿
ihgm	氅
ihgq	敞
ihgt	尝
ihhq	唱
ihia	常
ihke	𬬮
ihnt	鬯
ihpj	畅
ihqq	昌
ihrq	昶
ihss	厂
ihtj	场
ihuh	徜
ihvj	肠
ihvq	猖
ihwq	阊
ihxe	苌
ihxq	菖
ihyq	鲳
ihyt	鲿
ihza	嫦
ihzq	娼
iiap	饬
iibi	池
iici	驰
iieg	耻
iifl	侈
iify	傺
iigw	齿
iihl	吃
iihm	嗤
iihp	哧
iiht	叱
iiih	啻
iiii	尺
iiip	迟
iija	𫄨
iiky	鸱
iilb	摛
iily	持
iimb	螭
iinl	瓻
iinq	豉
iioi	弛
iipb	魑
iipm	翅
iipq	敕
iiql	眵
iiqt	匙
iira	炽
iirh	笞
iirn	篪
iisc	瘛
iish	痴
iisy	痓
iitc	墀
iitp	赤
iiun	褫
iiuu	彳
iivi	胣
iiwm	蚩
iixt	茌
iiyb	漦
iiyy	斥
iizh	踟
iizm	媸
ijaa	单
ijaa	馋
ijae	产
ijak	冁
ijaz	觇
ijbe	浐
ijbn	澶
ijbn	潺
ijbt	瀍
ijcn	骣
ijcw	忏
ijda	谗
ijdy	谄
ijfr	儳
ijha	啴
ijik	羼
ijin	孱
ijjm	缠
ijke	铲
ijkp	镡
ijkr	镵
ijla	搀
ijle	掺
ijma	蝉
ijmd	蟾
ijmd	韂
ijop	梴
ijqy	旵
ijra	𬊤
ijrs	刬
ijst	廛
ijua	禅
ijud	襜
ijvz	颤
ijwa	阐
ijxz	蒇
ijyp	辿
ijyr	巉
ijza	婵
ijzt	躔
ikhq	啜
iklc	揣
ikln	搋
ikzc	踹
ilam	幢
ilcv	怆
ilgs	创
ilhm	噇
ilia	窗
ilso	床
ilsv	疮
ilwc	闯
ioap	逴
iocq	惙
ioeq	辍
iogz	龊
iohq	啜
iojp	绰
iomr	戳
iozp	踔
iraa	川
ireh	船
irfx	传
irha	串
irhc	喘
iriu	穿
irka	钏
irlw	舛
iroe	椽
irra	氚
iryp	遄
isba	㳘
isba	冲
isbl	涌
isby	漴
isca	忡
iscm	憧
isem	艟
isga	珫
isid	宠
isiy	舂
iska	铳
isly	摏
isma	翀
ismm	虫
isva	充
iswa	种
iswm	重
isxa	茺
isyy	崇
iuba	滁
iubk	濋
iuca	怵
iuck	憷
iuen	䝙
iufq	俶
iufq	储
iugk	𬺓
iugq	琡
iujy	绌
iujy	础
iukp	锄
iulo	摴
iulp	搐
iuma	蜍
iuny	亍
iuok	楚
iuoo	樗
iuop	杵
iuoq	楮
iuoy	橱
iupa	除
iupt	矗
iuqa	处
iury	黜
iusy	厨
iuuq	褚
iuus	初
iuvp	畜
iuwm	触
iuyg	雏
iuym	斶
iuyp	䢺
iuyy	刍
iuyy	出
iuzq	躇
iuzy	蹰
ivec	圌
ivfn	倕
ivhg	吹
ivkn	锤
ivln	捶
ivon	棰
ivop	槌
ivpn	陲
ivrg	炊
ivwn	垂
iybn	淳
iyen	醇
iygq	瑃
iyim	蠢
iyiq	春
iyjo	纯
iykn	𬭚
iymq	蝽
iyoq	椿
iysh	唇
iytq	堾
iyuy	鹑
iyxo	莼
iyyq	䲠
izay	帱
izch	惆
izea	酬
izfd	仇
izfy	俦
izgc	犨
izgg	雠
izgs	侴
izjh	绸
izlp	抽
izoh	椆
izot	杻
izot	丑
izpy	畴
izqr	瞅
izry	筹
izse	瘳
izwc	愁
izwh	稠
izyn	臭
izzy	踌
jbaa	巾
jbaw	馑
jbba	浕
jbbq	浸
jbbq	溍
jbbq	津
jbdw	谨
jbep	劲
jbfq	仅
jbgp	琎
jbgq	瑨
jbgq	珒
jbgw	瑾
jbhy	噤
jbia	尽
jbjq	缙
jbka	锦
jbkk	金
jbky	𬬱
jblp	进
jblw	殣
jbmw	堇
jbmy	靳
jbmz	觐
jbnj	紧
jbov	卺
jbow	槿
jboy	禁
jbra	烬
jbrp	筋
jbsw	廑
jbsz	矜
jbtw	墐
jbuq	祲
jbuy	襟
jbuz	衿
jbwq	晋
jbxa	荩
jbyp	近
jbyy	斤
jbza	赆
jbzz	妗
jbzz	今
jiac	羁
jian	饥
jian	齑
jiao	乩
jias	罽
jias	剂
jiba	济
jibc	㴔
jibq	激
jibq	汲
jibs	瀱
jibv	脊
jiby	鹡
jiby	洎
jiby	漈
jica	既
jica	骥
jica	霁
jice	霁
jicn	暨
jicn	悸
jicp	骥
jicp	即
jict	堲
jicy	犄
jicy	𬶨
jidn	讥
jidp	计
jidv	记
jiee	辑
jiej	系
jifh	佶
jifq	伋
jifq	伎
jifw	偈
jign	玑
jigo	集
jiha	戢
jihn	叽
jihp	唧
jiiq	寂
jiiq	屐
jiiy	寄
jije	缉
jijh	给
jijn	矶
jijo	继
jijp	畿
jijq	级
jijv	纪
jijz	绩
jika	𫓹
jikn	麂
jikt	𫓯
jila	挤
jiln	殛
jilq	技
jily	祭
jily	掎
jimc	惎
jimn	虮
jimt	基
jimv	期
jina	冀
jinh	髻
jinn	亟
jinn	几
jinq	耤
jins	剞
jint	墼
jiny	奇
jioe	楫
jion	机
jioq	极
jiox	枅
jipa	𬯀
jipp	迹
jipp	棘
jipr	戟
jipy	畸
jipy	际
jipz	赍
jiqq	及
jiqy	鸡
jira	箕
jirq	笈
jirq	籍
jirx	笄
jisr	疾
jisv	瘠
jith	吉
jitq	圾
jity	垍
jiuy	徛
jiuz	𫌀
jivc	忌
jivn	肌
jivv	己
jiwa	积
jiwn	季
jiwp	𪟝
jiwq	稽
jiwq	稷
jiwy	嵇
jiwy	觭
jiwy	穄
jixa	荠
jixa	蕺
jixq	芰
jixq	芨
jixq	藉
jixr	蒺
jixs	蓟
jiya	鲚
jiyc	急
jiyp	鲫
jiyq	岌
jiyv	嵴
jiyv	鱾
jiyy	𬶭
jiyz	觊
jiza	跻
jizc	跽
jizh	姞
jizk	姬
jizq	妓
jizr	嫉
jizv	蹐
jizz	击
jkaa	竞
jkaq	竫
jkav	靖
jkbe	泾
jkbl	汫
jkbq	净
jkcg	憬
jkcg	惊
jkda	竟
jkdn	粳
jkdv	精
jkep	劲
jkep	迳
jkes	刭
jkez	颈
jkfg	倞
jkfq	儆
jkgg	璟
jkgq	璥
jkje	经
jkka	镜
jkkg	麖
jkll	井
jkpa	兢
jkpl	阱
jkqg	景
jkqq	晶
jkqv	睛
jkse	痉
jksw	旌
jkta	境
jkue	径
jkug	京
jkva	獍
jkve	胫
jkvg	猄
jkvl	肼
jkvv	腈
jkwq	静
jkwy	䴖
jkwz	靓
jkxd	警
jkxe	茎
jkxq	敬
jkxs	荆
jkxv	菁
jkyg	鲸
jkyv	鼱
jkzv	婧
jlbe	江
jlbw	洚
jldl	讲
jldm	糨
jlfn	僵
jliz	姜
jljn	缰
jljn	礓
jljw	绛
jlme	虹
jlnb	浆
jlne	酱
jlne	豇
jlnn	耩
jlnn	奖
jlno	桨
jlny	将
jloc	犟
jlog	弶
jlom	强
jlon	疆
jlpw	降
jlvm	膙
jlwy	匠
jlxe	茳
jlxy	蒋
jlyy	鳉
jmam	翦
jmar	饯
jmar	煎
jmas	剪
jmbh	减
jmbq	涧
jmbr	溅
jmbs	湔
jmby	渐
jmcp	犍
jmdp	谏
jmdr	𬣡
jmds	谫
jmez	舰
jmfc	牮
jmfc	件
jmfp	健
jmfq	僭
jmft	俭
jmgn	尖
jmhh	兼
jmhy	鹣
jmid	謇
jmiv	肩
jmiz	蹇
jmjh	缄
jmjh	缣
jmjh	碱
jmkp	键
jmkq	锏
jmle	拣
jmlh	搛
jmlt	捡
jmlw	歼
jmmn	鞯
jmmp	鞬
jmmp	毽
jmna	监
jmnk	鉴
jmnt	坚
jmoa	槛
jmop	楗
jmot	检
jmoz	枧
jmpp	柬
jmqc	艰
jmqp	暕
jmqp	建
jmqt	睑
jmra	箭
jmrq	简
jmrr	笺
jmrr	戋
jmrr	篯
jmrs	箭
jmrz	笕
jmts	剑
jmuq	裥
jmvp	腱
jmwq	间
jmwr	戬
jmxh	蒹
jmxm	茧
jmxn	荐
jmxo	菅
jmyh	鳒
jmyt	鲣
jmzp	踺
jmzr	践
jmzr	贱
jmzw	奸
jmzx	趼
jmzz	见
jnan	饺
jnas	剿
jnbb	浇
jnbh	滘
jnbq	漖
jnbr	湫
jnca	骄
jncn	恔
jnea	轿
jnen	酵
jnen	较
jner	醮
jnfb	侥
jnfn	佼
jnfr	僬
jngq	璬
jngr	焦
jngy	鹪
jnha	叫
jnhr	噍
jnhy	嚼
jnih	窖
jniz	觉
jnjn	绞
jnjq	缴
jnjr	礁
jnkn	铰
jnlz	搅
jnmn	蛟
jnnn	交
jnnp	郊
jnnp	斠
jnny	䴔
jnon	校
jnoq	椒
jnpq	教
jnra	矫
jnrr	燋
jnuq	徼
jnvn	胶
jnvn	狡
jnvp	脚
jnww	角
jnxd	艽
jnxn	茭
jnxr	蕉
jnxy	藠
jnya	峤
jnyn	皎
jnyn	峧
jnyn	鲛
jnyq	敫
jnyq	皦
jnyy	皭
jnza	娇
jnzn	跤
jnzn	姣
jpaw	竭
jpbh	洁
jpby	湝
jpcx	悈
jpdh	诘
jpdw	讦
jpdx	诫
jpfa	价
jpfq	借
jpga	玠
jpga	介
jphe	嗟
jphy	喈
jpip	届
jpiw	羯
jpjh	结
jpjw	碣
jpkt	街
jpla	捷
jplh	拮
jplo	桀
jplw	揭
jplz	接
jpma	蚧
jpmp	蜐
jpnn	孑
jpoc	檞
jpoh	桔
jpor	杰
jpoy	楷
jppa	阶
jppa	界
jppg	截
jpqa	睫
jprx	戒
jpsa	疥
jpsp	疖
jptp	劫
jptp	劼
jpty	皆
jptz	颉
jpua	褯
jpua	骱
jpvy	岊
jpwc	解
jpwh	秸
jpwj	絜
jpwz	㛃
jpxa	芥
jpxp	节
jpxq	藉
jpyh	鲒
jpza	婕
jpzt	姐
jqaq	旧
jqbd	氿
jqbe	酒
jqdd	九
jqdy	鸠
jqfd	僦
jqgq	玖
jqhr	啾
jqid	究
jqja	纠
jqlr	揪
jqnn	韭
jqnq	救
jqnr	鬏
jqoq	柩
jqoy	桕
jqqh	咎
jqqq	久
jqqr	灸
jqsa	厩
jqsq	疚
jqud	就
jquy	鹫
jqwp	阄
jqyd	㠇
jqyp	舅
jqyy	臼
jqza	赳
jram	蠲
jrbv	涓
jrep	鄄
jrev	圈
jrfv	倦
jrgv	隽
jrhy	鹃
jrio	桊
jriq	眷
jriv	卷
jrjv	绢
jrkv	锩
jrkv	镌
jrlv	捐
jrrv	焆
jrvv	狷
jrzv	娟
jsbh	泂
jsch	𬳶
jsih	扃
jsih	窘
jsjh	䌹
jsqr	炅
jsrh	炯
jsth	坰
jstz	颎
jswh	冏
jswp	迥
jtbg	㵐
jtbn	决
jtcn	𫘝
jtdh	谲
jtdn	诀
jtfg	傕
jtfy	倔
jtgg	珏
jtgn	玦
jthg	噘
jthy	嚼
jtiz	觉
jtjn	砄
jtjv	绝
jtkg	镢
jtkh	𫔎
jtlg	撅
jtln	抉
jtlq	攫
jtly	掘
jtmy	爵
jtna	孓
jtog	橛
jtow	桷
jtqq	矍
jtry	爝
jtsg	厥
jtss	劂
jtvg	獗
jtvq	玃
jtwn	觖
jtww	角
jtxg	蕨
jtyy	崛
jtzg	蹶
juap	遽
jube	澽
jubh	泃
jubt	沮
juca	惧
juca	犋
juch	驹
judd	居
juds	剧
judw	讵
juea	聚
juee	醵
juee	车
jufa	俱
jufd	倨
jugd	琚
jugl	举
jugt	龃
juht	咀
juih	局
juiz	窭
juiz	屦
jujt	砠
jukd	锯
jukh	锔
jukw	钜
juld	掬
juld	据
julh	拘
julw	拒
jumd	鞫
jumd	鞠
juna	飓
juod	椐
juoh	枸
juoh	橘
juol	榉
juow	柜
juqy	䴗
jurh	焗
jurh	筥
jurw	炬
jurw	矩
just	疽
juta	具
jutg	雎
jutx	弆
juud	裾
juvd	腒
juvt	狙
juwh	句
juww	巨
juww	秬
juxd	菊
juxh	莒
juxh	蒟
juxt	苴
juxw	苣
juyd	崌
juyh	𬶋
juyt	岨
juyw	岠
juzb	踽
juzd	踞
juzq	娵
juzt	趄
juzw	距
jxbh	泇
jxbn	浃
jxez	贾
jxfa	价
jxfh	伽
jxfp	伽
jxfq	假
jxft	佳
jxgh	珈
jxhp	斝
jxie	家
jxke	镓
jxkn	铗
jxkp	钾
jxmn	蛱
jxnn	夹
jxnp	郏
jxnr	戛
jxnz	颊
jxoh	枷
jxon	𬂩
jxoz	槚
jxpc	驾
jxph	迦
jxph	加
jxpn	袈
jxpo	架
jxpp	甲
jxpp	迦
jxrh	笳
jxsh	痂
jxsq	瘕
jxth	嘉
jxvp	胛
jxwc	恝
jxwe	稼
jxxh	茄
jxxn	荚
jxxq	葭
jxyp	岬
jxze	嫁
jxzh	跏
jyaq	竣
jybq	浚
jycq	骏
jyfq	俊
jygh	珺
jyie	皲
jyie	军
jykb	钧
jykw	麇
jylh	捃
jypq	畯
jyqh	君
jyqp	郡
jyqq	晙
jyrb	筠
jyrq	焌
jysp	龟
jytb	均
jyvw	䐃
jyxh	莙
jyxq	葰
jyxw	菌
jyyh	鲪
jyyq	峻
kaaa	卡
kaha	咔
kahh	咖
kahq	喀
kahq	咯
kava	胩
kcbo	洘
kcch	犒
kccn	靠
kcid	尻
kcko	铐
