行号	词	词频	原拼音	辅助拼音	词典读音	简单鹤	鲸凉鹤	采用	依据	问题
91835	艾克斯拉沙佩勒	1	ai4/yi4 ke4 si1 la1/la2/la3/la4 sha1/sha4 pei4 le4/lei1	aikesilashapeile				待分配	证据不足或仍冲突；待分配	
91836	艾克西斯	1	ai4/yi4 ke4 xi1 si1	aikexisi				待分配	证据不足或仍冲突；待分配	
91837	艾克里	1	ai4/yi4 ke4 li3	aikeli				待分配	证据不足或仍冲突；待分配	
91838	艾兰洲	1	ai4/yi4 lan2 zhou1	ailanzhou				待分配	证据不足或仍冲突；待分配	
91839	艾兹帕迪	1	ai4/yi4 ci2/zi1 pa4 di2	aizipadi				待分配	证据不足或仍冲突；待分配	
91840	艾兹拉·庞德	1	ai4/yi4 ci2/zi1 la1/la2/la3/la4 #pang2 de2	aizila*pangde				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
91841	艾利卡	1	ai4/yi4 li4 ka3/qia3	ailika				待分配	证据不足或仍冲突；待分配	
91842	艾利哈尼	1	ai4/yi4 li4 ha1/ha3/ha4 ni2	ailihani				待分配	证据不足或仍冲突；待分配	
91843	艾利森·威洛	1	ai4/yi4 li4 sen1 #wei1 luo4	ailisen*weiluo				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
91844	艾利欧·戴蒙	1	ai4/yi4 li4 ou1 #dai4 meng1/meng2/meng3	ailiou*daimeng				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
91845	艾利特	1	ai4/yi4 li4 te4	ailite				待分配	证据不足或仍冲突；待分配	
91846	艾利莎	1	ai4/yi4 li4 sha1/suo1	ailisha				待分配	证据不足或仍冲突；待分配	
91847	艾利莎·费尔查德	1	ai4/yi4 li4 sha1/suo1 #fei4 er3 cha2/zha1 de2	ailisha*feierchade				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
91848	艾利莫	1	ai4/yi4 li4 mo4	ailimo				待分配	证据不足或仍冲突；待分配	
91849	艾力山	1	ai4/yi4 li4 shan1	ailishan				待分配	证据不足或仍冲突；待分配	
91850	艾力森	1	ai4/yi4 li4 sen1	ailisen				待分配	证据不足或仍冲突；待分配	
91851	艾力欧	1	ai4/yi4 li4 ou1	ailiou				待分配	证据不足或仍冲突；待分配	
91852	艾卡	1	ai4/yi4 ka3/qia3	aika				待分配	证据不足或仍冲突；待分配	
91853	艾卡艾娜	1	ai4/yi4 ka3/qia3 ai4/yi4 na4/nuo2	aikaaina				待分配	证据不足或仍冲突；待分配	
91854	艾吉尔	1	ai4/yi4 ji2 er3	aijier				待分配	证据不足或仍冲突；待分配	
91855	艾吉才	1	ai4/yi4 ji2 cai2	aijicai				待分配	证据不足或仍冲突；待分配	
91856	艾哈迈德·沙阿·马苏德	1	ai4/yi4 ha1/ha3/ha4 mai4 de2 #sha1/sha4 a1/a5/e1 #ma3 su1 de2	aihamaide*shaa*masude				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
91857	艾地	1	ai4/yi4 de5/di4	aidi				待分配	证据不足或仍冲突；待分配	
91858	艾基利斯	1	ai4/yi4 ji1 li4 si1	aijilisi				待分配	证据不足或仍冲突；待分配	
91859	艾塞克斯的安特	1	ai4/yi4 sai1/sai4/se4 ke4 si1 de5/di2/di4 an1 te4	aisaikesideante				待分配	证据不足或仍冲突；待分配	
91860	艾塞克斯的安特文	1	ai4/yi4 sai1/sai4/se4 ke4 si1 de5/di2/di4 an1 te4 wen2	aisaikesideantewen				待分配	证据不足或仍冲突；待分配	
91861	艾塞克斯镇	1	ai4/yi4 sai1/sai4/se4 ke4 si1 zhen4	aisaikesizhen				待分配	证据不足或仍冲突；待分配	
91862	艾士莉	1	ai4/yi4 shi4 li4	aishili				待分配	证据不足或仍冲突；待分配	
91863	艾多鲁	1	ai4/yi4 duo1 lu3	aiduolu				待分配	证据不足或仍冲突；待分配	
91864	艾奇斯	1	ai4/yi4 ji1/qi2 si1	aiqisi				待分配	证据不足或仍冲突；待分配	
91865	艾奇维利	1	ai4/yi4 ji1/qi2 wei2 li4	aiqiweili				待分配	证据不足或仍冲突；待分配	
91866	艾奇维拉	1	ai4/yi4 ji1/qi2 wei2 la1/la2/la3/la4	aiqiweila				待分配	证据不足或仍冲突；待分配	
91869	艾尔·伽托	1	ai4/yi4 er3 #ga1/jia1/qia1/qie2 tuo1	aier**tuo				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
91870	艾尔·多拉	1	ai4/yi4 er3 #duo1 la1/la2/la3/la4	aier*duola				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
91871	艾尔·格林格	1	ai4/yi4 er3 #ge1/ge2 lin2 ge1/ge2	aier*gelinge				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
91872	艾尔·马里亚奇	1	ai4/yi4 er3 #ma3 li3 ya4 ji1/qi2	aier*maliyaqi				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
91873	艾尔·黑格	1	ai4/yi4 er3 #hei1 ge1/ge2	aier*heige				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
91874	艾尔伯特·施佩尔	1	ai4/yi4 er3 bai3/bo2 te4 #shi1 pei4 er3	aierbote*shipeier				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
91875	艾尔伯特·爱因斯坦	1	ai4/yi4 er3 bai3/bo2 te4 #ai4 yin1 si1 tan3	aierbote*aiyinsitan				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
91876	艾尔卡	1	ai4/yi4 er3 ka3/qia3	aierka				待分配	证据不足或仍冲突；待分配	
91877	艾尔卡佛村	1	ai4/yi4 er3 ka3/qia3 fo2/fu2 cun1	aierkafocun				待分配	证据不足或仍冲突；待分配	
91878	艾尔卡利贝	1	ai4/yi4 er3 ka3/qia3 li4 bei4	aierkalibei				待分配	证据不足或仍冲突；待分配	
91879	艾尔尼诺	1	ai4/yi4 er3 ni2 nuo4	aierninuo				待分配	证据不足或仍冲突；待分配	
91880	艾尔德里奇·克里弗	1	ai4/yi4 er3 de2 li3 ji1/qi2 #ke4 li3 fu2	aierdeliqi*kelifu				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
91881	艾尔摩	1	ai4/yi4 er3 ma1/mo2	aiermo				待分配	证据不足或仍冲突；待分配	
91882	艾尔摩佐	1	ai4/yi4 er3 ma1/mo2 zuo3	aiermozuo				待分配	证据不足或仍冲突；待分配	
91883	艾尔文·兰兹里斯	1	ai4/yi4 er3 wen2 #lan2 ci2/zi1 li3 si1	aierwen*lanzilisi				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
91884	艾尔文的艾尔	1	ai4/yi4 er3 wen2 de5/di2/di4 ai4/yi4 er3	aierwendeaier				待分配	证据不足或仍冲突；待分配	
91885	艾尔斯伯里	1	ai4/yi4 er3 si1 bai3/bo2 li3	aiersiboli				待分配	证据不足或仍冲突；待分配	
91886	艾尔曼	1	ai4/yi4 er3 man4	aierman				待分配	证据不足或仍冲突；待分配	
91887	艾尔格	1	ai4/yi4 er3 ge1/ge2	aierge				待分配	证据不足或仍冲突；待分配	
91888	艾尔沃斯	1	ai4/yi4 er3 wo4 si1	aierwosi				待分配	证据不足或仍冲突；待分配	
91889	艾尔沙	1	ai4/yi4 er3 sha1/sha4	aiersha				待分配	证据不足或仍冲突；待分配	
91890	艾尔洪塔	1	ai4/yi4 er3 hong2 da5/ta3	aierhongta				待分配	证据不足或仍冲突；待分配	
91891	艾尔瑞克	1	ai4/yi4 er3 rui4 ke4	aierruike				待分配	证据不足或仍冲突；待分配	
91892	艾尔留	1	ai4/yi4 er3 liu2	aierliu				待分配	证据不足或仍冲突；待分配	
91893	艾尔的卜基	1	ai4/yi4 er3 de5/di2/di4 bo5/bu3 ji1	aierdeboji				待分配	证据不足或仍冲突；待分配	
91894	艾尔皮托利	1	ai4/yi4 er3 pi2 tuo1 li4	aierpituoli				待分配	证据不足或仍冲突；待分配	
91895	艾尔维斯·卡斯特罗	1	ai4/yi4 er3 wei2 si1 #ka3/qia3 si1 te4 luo1/luo2/luo5	aierweisi*kasiteluo				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
91896	艾尔维斯·普莱斯利	1	ai4/yi4 er3 wei2 si1 #pu3 lai2 si1 li4	aierweisi*pulaisili				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
91897	艾尔茜	1	ai4/yi4 er3 qian4/xi1	aier*				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
91898	艾尔阿	1	ai4/yi4 er3 a1/a5/e1	aiera				待分配	证据不足或仍冲突；待分配	
91899	艾尔阿托市	1	ai4/yi4 er3 a1/a5/e1 tuo1 shi4	aieratuoshi				待分配	证据不足或仍冲突；待分配	
91900	艾尼	1	ai4/yi4 ni2	aini				待分配	证据不足或仍冲突；待分配	
91901	艾尼斯	1	ai4/yi4 ni2 si1	ainisi				待分配	证据不足或仍冲突；待分配	
91902	艾布	1	ai4/yi4 bu4	aibu				待分配	证据不足或仍冲突；待分配	
91903	艾布·麦克里德	1	ai4/yi4 bu4 #mai4 ke4 li3 de2	aibu*maikelide				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
91904	艾帕索市	1	ai4/yi4 pa4 suo3 shi4	aipasuoshi				待分配	证据不足或仍冲突；待分配	
91905	艾席克	1	ai4/yi4 xi2 ke4	aixike				待分配	证据不足或仍冲突；待分配	
91906	艾弗尔·艾伦森	1	ai4/yi4 fu2 er3 #ai4/yi4 lun2 sen1	aifuer*ailunsen				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
91907	艾弗格	1	ai4/yi4 fu2 ge1/ge2	aifuge				待分配	证据不足或仍冲突；待分配	
91908	艾弗森	1	ai4/yi4 fu2 sen1	aifusen				待分配	证据不足或仍冲突；待分配	
91909	艾弗灵	1	ai4/yi4 fu2 ling2	aifuling				待分配	证据不足或仍冲突；待分配	
91910	艾弗生	1	ai4/yi4 fu2 sheng1	aifusheng				待分配	证据不足或仍冲突；待分配	
91911	艾彼斯	1	ai4/yi4 bi3 si1	aibisi				待分配	证据不足或仍冲突；待分配	
91912	艾得耐	1	ai4/yi4 de2/de5/dei3 nai4	aidenai				待分配	证据不足或仍冲突；待分配	
91913	艾德·桑德斯	1	ai4/yi4 de2 #sang1 de2 si1	aide*sangdesi				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
91914	艾德·琼斯	1	ai4/yi4 de2 #qiong2 si1	aide*qiongsi				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
91915	艾德·米尔斯	1	ai4/yi4 de2 #mi3 er3 si1	aide*miersi				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
91916	艾德·萨莉	1	ai4/yi4 de2 #sa4 li4	aide*sali				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
91917	艾德·阿斯纳	1	ai4/yi4 de2 #a1/a5/e1 si1 na4	aide*asina				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
91918	艾德·高尔	1	ai4/yi4 de2 #gao1 er3	aide*gaoer				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
91919	艾德丽安·坎贝尔	1	ai4/yi4 de2 li2/li4 an1 #kan3 bei4 er3	aidelian*kanbeier				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
91920	艾德伦登	1	ai4/yi4 de2 lun2 deng1	aidelundeng				待分配	证据不足或仍冲突；待分配	
91921	艾德加·加克比	1	ai4/yi4 de2 jia1 #jia1 ke4 bi3	aidejia*jiakebi				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
91922	艾德加·胡佛	1	ai4/yi4 de2 jia1 #hu2 fo2/fu2	aidejia*hufo				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
91923	艾德勒	1	ai4/yi4 de2 le4/lei1	aidele				待分配	证据不足或仍冲突；待分配	
91924	艾德华	1	ai4/yi4 de2 hua1/hua2/hua4	aidehua				待分配	证据不足或仍冲突；待分配	
91925	艾德华·康伦	1	ai4/yi4 de2 hua1/hua2/hua4 #kang1 lun2	aidehua*kanglun				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
91926	艾德华摩比斯	1	ai4/yi4 de2 hua1/hua2/hua4 ma1/mo2 bi3 si1	aidehuamobisi				待分配	证据不足或仍冲突；待分配	
91927	艾德华诺顿	1	ai4/yi4 de2 hua1/hua2/hua4 nuo4 du2/dun4	aidehuanuodun				待分配	证据不足或仍冲突；待分配	
91928	艾德华马拉	1	ai4/yi4 de2 hua1/hua2/hua4 ma3 la1/la2/la3/la4	aidehuamala				待分配	证据不足或仍冲突；待分配	
91929	艾德姆	1	ai4/yi4 de2 mu3	aidemu				待分配	证据不足或仍冲突；待分配	
91930	艾德姆·山德勒	1	ai4/yi4 de2 mu3 #shan1 de2 le4/lei1	aidemu*shandele				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
91931	艾德汤普森	1	ai4/yi4 de2 shang1/tang1 pu3 sen1	aidetangpusen				待分配	证据不足或仍冲突；待分配	
91932	艾德温	1	ai4/yi4 de2 wen1	aidewen				待分配	证据不足或仍冲突；待分配	
91933	艾德瓦多鲁伊兹	1	ai4/yi4 de2 wa3/wa4 duo1 lu3 yi1 ci2/zi1	aidewaduoluyizi				待分配	证据不足或仍冲突；待分配	
91934	艾德里安·米切利	1	ai4/yi4 de2 li3 an1 #mi3 qie1/qie4 li4	aidelian*miqieli				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
91935	艾德里安·金·菲尔比	1	ai4/yi4 de2 li3 an1 #jin1 #fei1/fei3 er3 bi3	aidelian*jin*feierbi				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
91936	艾思伯格	1	ai4/yi4 sai1/si1 bai3/bo2 ge1/ge2	aisiboge				待分配	证据不足或仍冲突；待分配	
91937	艾恩兰德	1	ai4/yi4 en1 lan2 de2	aienlande				待分配	证据不足或仍冲突；待分配	
91938	艾扎德·查尔斯	1	ai4/yi4 za1/zha1/zha2 de2 #cha2/zha1 er3 si1	aizhade*chaersi				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
91939	艾拉·梅	1	ai4/yi4 la1/la2/la3/la4 #mei2	aila*mei				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
91940	艾拉妮丝	1	ai4/yi4 la1/la2/la3/la4 ni1 si1	ailanisi				待分配	证据不足或仍冲突；待分配	
91941	艾拉来	1	ai4/yi4 la1/la2/la3/la4 lai2	ailalai				待分配	证据不足或仍冲突；待分配	
91942	艾拉生	1	ai4/yi4 la1/la2/la3/la4 sheng1	ailasheng				待分配	证据不足或仍冲突；待分配	
91943	艾拉莲	1	ai4/yi4 la1/la2/la3/la4 lian2	ailalian				待分配	证据不足或仍冲突；待分配	
91944	艾拉达	1	ai4/yi4 la1/la2/la3/la4 da2	ailada				待分配	证据不足或仍冲突；待分配	
91945	艾捷尔	1	ai4/yi4 jie2 er3	aijieer				待分配	证据不足或仍冲突；待分配	
91946	艾提安·洛朗	1	ai4/yi4 di1/ti2 an1 #luo4 lang3	aitian*luolang				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
91947	艾摩麦奎伊	1	ai4/yi4 ma1/mo2 mai4 kui2 yi1	aimomaikuiyi				待分配	证据不足或仍冲突；待分配	
91948	艾文兴	1	ai4/yi4 wen2 xing1/xing4	aiwenxing				待分配	证据不足或仍冲突；待分配	
91949	艾文那	1	ai4/yi4 wen2 na1/na3/na4/nei4	aiwenna				待分配	证据不足或仍冲突；待分配	
91950	艾斗	1	ai4/yi4 dou3/dou4	aidou				待分配	证据不足或仍冲突；待分配	
91951	艾斯亚	1	ai4/yi4 si1 ya4	aisiya				待分配	证据不足或仍冲突；待分配	
91952	艾斯卡	1	ai4/yi4 si1 ka3/qia3	aisika				待分配	证据不足或仍冲突；待分配	
91953	艾斯塔波	1	ai4/yi4 si1 da5/ta3 bo1	aisitabo				待分配	证据不足或仍冲突；待分配	
91954	艾斯库莱托	1	ai4/yi4 si1 ku4 lai2 tuo1	aisikulaituo				待分配	证据不足或仍冲突；待分配	
91955	艾斯提尔山	1	ai4/yi4 si1 di1/ti2 er3 shan1	aisitiershan				待分配	证据不足或仍冲突；待分配	
91956	艾斯提本	1	ai4/yi4 si1 di1/ti2 ben3	aisitiben				待分配	证据不足或仍冲突；待分配	
91957	艾斯特凡	1	ai4/yi4 si1 te4 fan2	aisitefan				待分配	证据不足或仍冲突；待分配	
91958	艾斯特拉	1	ai4/yi4 si1 te4 la1/la2/la3/la4	aisitela				待分配	证据不足或仍冲突；待分配	
91959	艾斯科雷奇	1	ai4/yi4 si1 ke1 lei2 ji1/qi2	aisikeleiqi				待分配	证据不足或仍冲突；待分配	
91960	艾斯米拉达	1	ai4/yi4 si1 mi3 la1/la2/la3/la4 da2	aisimilada				待分配	证据不足或仍冲突；待分配	
91961	艾斯纳	1	ai4/yi4 si1 na4	aisina				待分配	证据不足或仍冲突；待分配	
91962	艾施丽	1	ai4/yi4 shi1 li2/li4	aishili				待分配	证据不足或仍冲突；待分配	
91963	艾昆	1	ai4/yi4 kun1	aikun				待分配	证据不足或仍冲突；待分配	
91964	艾明穆尔	1	ai4/yi4 ming2 mu4 er3	aimingmuer				待分配	证据不足或仍冲突；待分配	
91965	艾普碧	1	ai4/yi4 pu3 bi4	aipubi				待分配	证据不足或仍冲突；待分配	
91966	艾曼达·吉勒	1	ai4/yi4 man4 da2 #ji2 le4/lei1	aimanda*jile				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
91967	艾柏能	1	ai4/yi4 bai3/bo2/bo4 neng2	aibaineng				待分配	证据不足或仍冲突；待分配	
91968	艾格·斯戴尔斯	1	ai4/yi4 ge1/ge2 #si1 dai4 er3 si1	aige*sidaiersi				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
91969	艾格·斯泰尔斯	1	ai4/yi4 ge1/ge2 #si1 tai4 er3 si1	aige*sitaiersi				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
91970	艾格利	1	ai4/yi4 ge1/ge2 li4	aigeli				待分配	证据不足或仍冲突；待分配	
91971	艾格威雅	1	ai4/yi4 ge1/ge2 wei1 ya1/ya3	aigeweiya				待分配	证据不足或仍冲突；待分配	
91972	艾梅	1	ai4/yi4 mei2	aimei				待分配	证据不足或仍冲突；待分配	
91973	艾森伯格	1	ai4/yi4 sen1 bai3/bo2 ge1/ge2	aisenboge				待分配	证据不足或仍冲突；待分配	
91974	艾森豪	1	ai4/yi4 sen1 hao2	aisenhao				待分配	证据不足或仍冲突；待分配	
91975	艾比·塞尔斯	1	ai4/yi4 bi3 #sai1/sai4/se4 er3 si1	aibi*saiersi				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
91976	艾比·威敏斯特	1	ai4/yi4 bi3 #wei1 min3 si1 te4	aibi*weiminsite				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
91977	艾比·科曼	1	ai4/yi4 bi3 #ke1 man4	aibi*keman				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
91978	艾比卡尔文	1	ai4/yi4 bi3 ka3/qia3 er3 wen2	aibikaerwen				待分配	证据不足或仍冲突；待分配	
91979	艾比戈儿	1	ai4/yi4 bi3 ge1 er2	aibigeer				待分配	证据不足或仍冲突；待分配	
91980	艾比斯多力	1	ai4/yi4 bi3 si1 duo1 li4	aibisiduoli				待分配	证据不足或仍冲突；待分配	
91981	艾沙	1	ai4/yi4 sha1/sha4	aisha				待分配	证据不足或仍冲突；待分配	
91982	艾波特	1	ai4/yi4 bo1 te4	aibote				待分配	证据不足或仍冲突；待分配	
91983	艾泰亚	1	ai4/yi4 tai4 ya4	aitaiya				待分配	证据不足或仍冲突；待分配	
91984	艾泽·克沃顿	1	ai4/yi4 ze2 #ke4 wo4 du2/dun4	aize*kewodun				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
91985	艾洛克	1	ai4/yi4 luo4 ke4	ailuoke				待分配	证据不足或仍冲突；待分配	
91986	艾滋也	1	ai4/yi4 zi1 ye3	aiziye				待分配	证据不足或仍冲突；待分配	
91987	艾滋才	1	ai4/yi4 zi1 cai2	aizicai				待分配	证据不足或仍冲突；待分配	
91988	艾滋时	1	ai4/yi4 zi1 shi2	aizishi				待分配	证据不足或仍冲突；待分配	
91989	艾滋里	1	ai4/yi4 zi1 li3	aizili				待分配	证据不足或仍冲突；待分配	
91990	艾玛·帕吉特	1	ai4/yi4 ma3 #pa4 ji2 te4	aima*pajite				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
91991	艾玛·弗里泽	1	ai4/yi4 ma3 #fu2 li3 ze2	aima*fulize				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
91992	艾玛·汤普森	1	ai4/yi4 ma3 #shang1/tang1 pu3 sen1	aima*tangpusen				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
91993	艾玛·莱纳尔	1	ai4/yi4 ma3 #lai2 na4 er3	aima*lainaer				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
91994	艾玛·韦斯特布鲁克	1	ai4/yi4 ma3 #wei2 si1 te4 bu4 lu3 ke4	aima*weisitebuluke				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
91995	艾玛怀森	1	ai4/yi4 ma3 huai2 sen1	aimahuaisen				待分配	证据不足或仍冲突；待分配	
91996	艾玛汉弥尔顿	1	ai4/yi4 ma3 han4 mi2 er3 du2/dun4	aimahanmierdun				待分配	证据不足或仍冲突；待分配	
91997	艾玛选	1	ai4/yi4 ma3 xuan3	aimaxuan				待分配	证据不足或仍冲突；待分配	
91998	艾理逊	1	ai4/yi4 li3 xun4	ailixun				待分配	证据不足或仍冲突；待分配	
91999	艾琪	1	ai4/yi4 qi2	ai*				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
92000	艾琳·卡拉	1	ai4/yi4 lin2 #ka3/qia3 la1/la2/la3/la4	ailin*kala				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
92001	艾琳·麦克维利	1	ai4/yi4 lin2 #mai4 ke4 wei2 li4	ailin*maikeweili				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
92002	艾琳娃	1	ai4/yi4 lin2 wa2	ailinwa				待分配	证据不足或仍冲突；待分配	
92003	艾琳娜·史帕	1	ai4/yi4 lin2 na4/nuo2 #shi3 pa4	ailinna*shipa				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
92004	艾琳娜贝比	1	ai4/yi4 lin2 na4/nuo2 bei4 bi3	ailinnabeibi				待分配	证据不足或仍冲突；待分配	
92005	艾琳达	1	ai4/yi4 lin2 da2	ailinda				待分配	证据不足或仍冲突；待分配	
92006	艾瑞克·拉塞里	1	ai4/yi4 rui4 ke4 #la1/la2/la3/la4 sai1/sai4/se4 li3	airuike*lasaili				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
92007	艾瑞克·费吉贝尔	1	ai4/yi4 rui4 ke4 #fei4 ji2 bei4 er3	airuike*feijibeier				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
92008	艾瑞卡·凯	1	ai4/yi4 rui4 ka3/qia3 #kai3	airuika*kai				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
92009	艾瑞卡·泰西	1	ai4/yi4 rui4 ka3/qia3 #tai4 xi1	airuika*taixi				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
92010	艾瑞娜	1	ai4/yi4 rui4 na4/nuo2	airuina				待分配	证据不足或仍冲突；待分配	
92011	艾瑞斯·罗德里格斯	1	ai4/yi4 rui4 si1 #luo1/luo2/luo5 de2 li3 ge1/ge2 si1	airuisi*luodeligesi				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
92012	艾瑞莎·弗兰克林	1	ai4/yi4 rui4 sha1/suo1 #fu2 lan2 ke4 lin2	airuisha*fulankelin				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
92013	艾瑞莎·罗宾逊	1	ai4/yi4 rui4 sha1/suo1 #luo1/luo2/luo5 bin1 xun4	airuisha*luobinxun				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
92014	艾瑞莎富兰克林	1	ai4/yi4 rui4 sha1/suo1 fu4 lan2 ke4 lin2	airuishafulankelin				待分配	证据不足或仍冲突；待分配	
92015	艾瑟	1	ai4/yi4 se4	aise				待分配	证据不足或仍冲突；待分配	
92016	艾真	1	ai4/yi4 zhen1	aizhen				待分配	证据不足或仍冲突；待分配	
92017	艾秋	1	ai4/yi4 qiu1	aiqiu				待分配	证据不足或仍冲突；待分配	
92018	艾立克	1	ai4/yi4 li4 ke4	ailike				待分配	证据不足或仍冲突；待分配	
92019	艾第安	1	ai4/yi4 di4 an1	aidian				待分配	证据不足或仍冲突；待分配	
92020	艾米·布朗斯基	1	ai4/yi4 mi3 #bu4 lang3 si1 ji1	aimi*bulangsiji				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
92021	艾米·布特林	1	ai4/yi4 mi3 #bu4 te4 lin2	aimi*butelin				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
92022	艾米·梅尔	1	ai4/yi4 mi3 #mei2 er3	aimi*meier				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
92023	艾米·洛克	1	ai4/yi4 mi3 #luo4 ke4	aimi*luoke				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
92024	艾米·福克斯	1	ai4/yi4 mi3 #fu2 ke4 si1	aimi*fukesi				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
92025	艾米丽·博伊德	1	ai4/yi4 mi3 li2/li4 #bo2 yi1 de2	aimili*boyide				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
92026	艾米丽·托马斯	1	ai4/yi4 mi3 li2/li4 #tuo1 ma3 si1	aimili*tuomasi				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
92027	艾米丽·迪肯	1	ai4/yi4 mi3 li2/li4 #di2 ken3	aimili*diken				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
92028	艾米丽亚	1	ai4/yi4 mi3 li2/li4 ya4	aimiliya				待分配	证据不足或仍冲突；待分配	
92029	艾米丽扣	1	ai4/yi4 mi3 li2/li4 kou4	aimilikou				待分配	证据不足或仍冲突；待分配	
92030	艾米农	1	ai4/yi4 mi3 nong2	aiminong				待分配	证据不足或仍冲突；待分配	
92031	艾米利奥·卡卜瑞拉	1	ai4/yi4 mi3 li4 ao4 #ka3/qia3 bo5/bu3 rui4 la1/la2/la3/la4	aimiliao*kaboruila				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
92032	艾米存	1	ai4/yi4 mi3 cun2	aimicun				待分配	证据不足或仍冲突；待分配	
92033	艾米尔·伯朗	1	ai4/yi4 mi3 er3 #bai3/bo2 lang3	aimier*bolang				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
92034	艾米特·提尔	1	ai4/yi4 mi3 te4 #di1/ti2 er3	aimite*tier				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
92035	艾米莉·戴	1	ai4/yi4 mi3 li4 #dai4	aimili*dai				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
92036	艾米莉·查尔顿	1	ai4/yi4 mi3 li4 #cha2/zha1 er3 du2/dun4	aimili*chaerdun				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
